Rank,Trending Topic,Top Position,Tweet Count,Duration
111,Michael Irvin,7,240,8
112,Stafford,29,240,3
113,Mark Vientos,20,240,3
114,Tennessee,6,701578,7
115,Ty Chandler,6,240,4
116,Noni,6,32350,4
117,#JetUp,10,240,3
118,#DaBears,11,240,2
119,Poatan,7,119965,8
120,Gilmore,9,23419,3
121,Justin Fields,8,10294,1
122,Hobi,22,131214,3
123,Sam Darnold,6,240,2
124,Tucker Kraft,27,240,3
125,Dark MAGA,10,680698,7
126,Kyle Allen,9,240,1
127,Diggs,25,240,4
128,Jefferson,11,32542,3
129,CeeDee,11,240,1
130,Bears,17,100282,2
131,Arkansas,11,243479,7
132,#baddiescaribbean,6,240,1
133,Rayne,25,240,3
134,Aldo,9,278122,8
135,Toyota,15,301417,5
136,Andrea Mitchell,32,240,6
137,Chase Brown,16,240,3
138,#earthquake,3,35251,3
139,#BALvsCIN,23,33024,2
140,NFL Network,14,240,4
141,Dak Prescott,15,240,1
142,Bianca,34,43118,3
143,Swift,16,172550,2
144,#RaiderNation,24,240,2
145,Musk,13,4132448,5
146,Celine Dion,23,240,2
147,Buffalo,20,61108,3
148,Arod,23,240,5
149,#ThePenguin,16,240,1
150,Jayden Reed,18,240,2
151,Nick Mullens,7,240,3
152,Brisker,17,240,2
153,Pennington,10,163446,7
154,Harbaugh,23,240,2
155,Justin Tucker,25,240,2
156,Harrison Smith,20,240,3
157,Corley,10,240,3
158,Strahm,23,240,2
159,Machado,31,145045,8
160,Herbig,28,240,2
161,#AskFFT,5,240,2
162,Mark Andrews,17,240,2
163,Patriots,23,202833,2
164,Justin Jefferson,15,240,2
165,Mack Hollins,25,240,4
166,Fairbairn,22,240,2
167,Madueke,18,58070,4
168,Go Bills,20,240,2
169,Kincaid,23,240,2
170,#90DayFiance,18,240,1
171,Halo Studios,17,240,1
172,Texas Tech,14,240,7
173,Pickens,23,240,1
174,#AskZB,6,240,2
175,Brennan Johnson,21,240,2
176,DJ Reed,24,240,3
177,King Henry,21,240,2
178,Riley Moss,20,240,2
179,Will McDonald,9,240,3
180,Restrepo,23,240,7
181,Guyton,32,240,2
182,Marcus Williams,27,240,3
183,Michigan,16,938172,6
184,Meatball,36,240,3
185,Nico,20,508310,7
186,Jameis,29,240,3
187,Sam Hubbard,21,240,2
188,Heisman,20,58714,4
189,Zach Orr,24,240,2
190,TLP THE SECRET OF RING,30,1552615,3
191,Gizelle,33,240,2
192,Arthur Smith,26,240,1
193,Russell Wilson,29,240,2
194,Maguire,9,38024,2
195,Joe Brady,29,240,3
196,Tre Brown,30,240,2
197,Cenk,16,240,4
198,Bohm,25,240,2
199,Caleb Williams,12,240,1
200,Vikes,32,240,4
201,Mike Tomlin,28,240,1
202,#RavensFlock,15,240,1
203,Lewandowski,25,126188,3
204,Ohtani,24,469168,6
205,Joe Burrow,18,240,1
206,Mike Williams,24,240,3
207,Doepy,12,240,2
208,#chama,24,240,6
209,Severino,26,240,2
210,CJ Ham,26,240,2
211,Aaron Rodgers,2,13939,1
212,Jeremy Swayman,16,240,2
213,Alec Pierce,26,240,2
214,Mark Kelly,31,240,3
215,Sauce Gardner,8,240,1
216,Stott,28,240,2
217,#WreckEm,18,240,5
218,Casty,35,240,2
219,Macron,25,1708566,4
220,Coco,13,97360,2
221,Troy Franklin,32,240,2
222,Howard Stern,33,44548,2
223,Keon Coleman,21,240,1
224,Gabe Davis,26,240,2
225,#Jets,3,240,1
226,Quincy Williams,16,240,2
227,Snoop,33,240,1
228,Jaguars,32,39376,2
229,Jacksonville,31,240,2
230,Shanahan,34,240,2
231,#NASCARPlayoffs,28,240,1
232,Stern,30,53385,2
233,Bautista,29,193714,7
234,Jason Sanders,22,240,2
235,Overshown,33,240,1
236,Muchova,23,240,2
237,Khabib,30,240,4
238,Pulisic,37,240,2
239,Izzy,33,240,7
240,Manny,38,136625,8
241,Joe Namath,19,240,2
242,Brock Bowers,27,240,1
243,TOTAL CONTROL,24,171601,2
244,Kyle Shanahan,31,240,1
245,Rece Davis,12,240,4
246,Christian Gonzalez,23,240,1
247,Bowers,31,24682,2
248,Jettas,37,240,3
249,Flies,41,60454,3
250,Heupel,28,240,6
251,Nkunku,38,240,3
252,Brissett,35,240,2
253,Tony Adams,20,240,2
254,Raquel,34,238350,7
255,Tyrod,33,240,3
256,Cristobal,28,41017,5
257,#SundayMorning,5,240,1
258,Connor Heyward,37,240,1
259,De Ligt,24,22923,2
260,#Seahawks,33,240,1
261,Eric Gray,32,240,1
262,#HTownMade,27,240,1
263,Peña,32,564706,7
264,Turpin,38,240,1
265,#Texans,28,240,1
266,#Raiders,35,240,1
267,Hopeful,29,24288,2
268,Bateman,30,240,1
269,Sean Payton,40,240,2
270,Echols,27,240,1
271,LINGORM MANILA FANMEET,20,1983507,2
272,Reichard,22,240,2
273,#Packers,35,240,1
274,Blessed Sunday,23,51165,2
275,Kyle Hamilton,31,240,2
276,Danny Smith,39,240,1
277,Ange,30,14603,1
278,Sunday Funday,37,240,3
279,Lincoln Riley,35,240,7
280,#GoFins,34,240,1
281,#BroncosCountry,35,240,1
282,Kneeland,44,240,2
283,Tottenham,31,28383,1
284,Douglas Luiz,21,240,1
285,Jennifer Hudson,39,240,1
286,Wilcox,30,240,4
287,Enzo,36,66147,2
288,Pick 6,25,10363,1
289,Lara Trump,30,70280,2
290,Chuba Hubbard,33,240,1
291,Fire Saleh,26,240,1
292,Ron Holland,42,240,2
293,Gilly,34,240,1
294,#SilentHill2Remake,27,240,2
295,Kyler Murray,39,240,1
296,Skol,28,240,1
297,Tremble,36,240,1
298,Mims,37,240,1
299,Vandy,17,370690,3
300,Jon Voight,26,240,2
301,MySpace,34,240,2
302,#AZvsSF,40,240,1
303,Blaney,39,240,1
304,Upset Saturday,39,240,6
305,Bama,18,219342,3
306,CeeDee Lamb,42,240,1
307,Evan Williams,41,240,1
308,Will the Thrill,30,240,1
309,How Great Thou Art,37,240,2
310,2ne1,33,736762,2
311,McPherson,40,240,1
312,unranked,38,20726,7
313,Dana Bash,36,240,1
314,Frankie Luvu,39,240,1
315,Call Her Daddy,46,231360,3
316,cristobal,35,240,2
317,Kyler,42,240,1
318,Tom Cotton,41,240,2
319,Pats,42,23484,2
320,Donte Jackson,44,240,1
321,#BUFvsHOU,41,240,1
322,Addison,38,240,1
323,Cam Akers,39,240,1
324,Isaiah Simmons,43,240,1
325,Danny Crossman,40,240,1
326,Taco Charlton,44,240,1
327,#VoteBlue2024ProtectDemocracy,27,240,1
328,Dorsey,41,240,1
329,Estevez,43,240,1
330,Josh Downs,40,240,1
331,Ketamine,41,240,2
332,College Football,36,398923,6
333,Bosa,43,240,1
334,Beane,41,240,1
335,Colwill,36,240,1
336,Gervon Dexter,43,240,2
337,Vonn Bell,42,240,1
338,Cal QB,27,240,3
339,Brighton,41,36763,1
340,Neto,37,15203,1
341,Marlon,43,240,1
342,Ken Dorsey,42,240,1
343,Stenhouse,44,240,1
344,Jared Allen,38,240,1
345,Vanderbilt,30,261846,3
346,Ankalaev,40,240,3
347,Rhamondre Stevenson,42,240,1
348,Trust in the Lord,37,240,1
349,Villa,43,231948,2
350,texas tech,36,240,1
351,Jaylon Jones,44,240,2
352,Solanke,42,240,1
353,#MIAvsCAL,27,240,1
354,Kittley,32,240,3
355,Jason Garrett,46,240,1
356,Football Sunday,41,240,1
357,Stroud,45,11518,1
358,Cole Bishop,44,240,1
359,#WWEBadBlood,24,770100,2
360,Eddie Jackson,45,240,1
361,Jon Jones,35,240,3
362,Softball,42,240,1
363,Reece Davis,36,240,1
364,Guidry,38,240,3
365,Mingo,46,240,1
366,Akayleb Evans,47,240,2
367,Dr. Phil,43,240,1
368,STRAY KIDS TOWER OF GOD,45,29449,1
369,Sevy,47,240,1
370,Udogie,46,240,1
371,Jackie Young,47,240,1
372,Occupy Mars,45,240,2
373,Charlie Kolar,47,240,1
374,Mainoo,45,240,1
375,Tahj Brooks,40,240,2
376,Joe Milton,35,240,2
377,Jaden Ivey,48,240,1
378,Lewy,46,240,1
379,#Toonami,42,240,3
380,Tank Bigsby,48,240,1
381,Brock Osweiler,42,240,2
382,Antony,47,23267,1
383,Rally,46,1033100,1
384,Cal Bears,43,240,1
385,Elon,22,938103,1
386,Shohei,47,161903,2
387,#GagCityTampa,41,10641,1
388,Kody,49,240,1
389,Fifita,44,240,1
390,Jeanty,46,66533,2
391,Jack Doherty,47,32985,1
392,jon jones,43,240,1
393,Tahj,45,240,2
394,Fox News Sunday,48,240,1
395,Nick Cross,49,240,1
396,Who Dey,49,240,1
397,Red Raiders,47,240,2
398,Forest,49,106782,1
399,Jiri,48,240,1
400,douglas luiz,49,240,1
401,Tuttle,43,240,1
402,Tyler Loop,48,240,1
403,Kopech,44,240,2
404,Hogs,46,240,2
405,Clemson,49,10776,1
406,Yankees,47,82153,1
407,Selective Service,50,240,1
408,Megill,50,240,1
409,Getsy,50,240,1
410,Jacoby,50,240,1
411,Achane,50,240,1
412,Garnacho,50,12729,1
413,Wink,50,10360,1
414,Bailed,50,240,1
