"Trends","Search volume","Started","Ended","Trend breakdown","Explore link"
"inter miami vs toronto","20K+","October 5, 2024 at 3:10:00 PM UTC-4",,"inter miami vs toronto,inter miami - toronto,toronto vs inter miami,toronto vs. inter miami,toronto fc vs inter miami lineups","https://trends.google.com/trends/explore?q=inter%20miami%20vs%20toronto&geo=US&hl=en"
"rutgers vs nebraska","20K+","October 5, 2024 at 9:30:00 AM UTC-4",,"rutgers vs nebraska,husker football,nebraska vs rutgers,husker game,huskers football,where to watch rutgers football vs nebraska cornhuskers football,what channel is the nebraska game on today,nebraska game today,rutgers vs nebraska predictions,greg schiano","https://trends.google.com/trends/explore?q=rutgers%20vs%20nebraska&geo=US&hl=en"
"arsenal vs southampton","20K+","October 5, 2024 at 7:10:00 AM UTC-4",,"arsenal vs southampton","https://trends.google.com/trends/explore?q=arsenal%20vs%20southampton&geo=US&hl=en"
"real madrid","50K+","October 5, 2024 at 3:20:00 PM UTC-4",,"real madrid,alineaciones de real madrid contra villarreal club de fútbol","https://trends.google.com/trends/explore?q=real%20madrid&geo=US&hl=en"
"boston college vs virginia","20K+","October 5, 2024 at 11:40:00 AM UTC-4",,"boston college vs virginia,virginia football,uva football,boston college vs virginia prediction,uva,thomas castellanos","https://trends.google.com/trends/explore?q=boston%20college%20vs%20virginia&geo=US&hl=en"
"wake forest vs nc state","10K+","October 5, 2024 at 11:10:00 AM UTC-4",,"wake forest vs nc state,wake forest,wake forest vs nc state prediction","https://trends.google.com/trends/explore?q=wake%20forest%20vs%20nc%20state&geo=US&hl=en"
"pittsburgh vs unc","20K+","October 5, 2024 at 11:40:00 AM UTC-4",,"pittsburgh vs unc,pittsburgh football,eli holstein,pitt football,unc vs pitt,pitt vs unc,carolina football,pitt score,pittsburgh panthers football,pittsburgh vs north carolina prediction,pitt vs unc prediction","https://trends.google.com/trends/explore?q=pittsburgh%20vs%20unc&geo=US&hl=en"
"west virginia vs oklahoma st","5K+","October 5, 2024 at 3:40:00 PM UTC-4",,"west virginia vs oklahoma st,wvu vs oklahoma state","https://trends.google.com/trends/explore?q=west%20virginia%20vs%20oklahoma%20st&geo=US&hl=en"
"julie andrews","50K+","October 4, 2024 at 6:00:00 PM UTC-4",,"julie andrews,anne hathaway,anne hathaway princess diaries 3,adele lim princess diaries 3,the princess diaries","https://trends.google.com/trends/explore?q=julie%20andrews&geo=US&hl=en"
"crystal palace vs liverpool","50K+","October 5, 2024 at 5:30:00 AM UTC-4",,"crystal palace vs liverpool,crystal palace - liverpool,liverpool,crystal palace f.c. vs liverpool f.c. lineups,liverpool f.c,crystal palace,liverpool f.c.,liverpool fc,crystal palace f.c. vs liverpool f.c. stats,crystal palace vs. liverpool,crystal palace f.c. vs liverpool f.c. timeline,liverpool vs,where to watch crystal palace f.c. vs liverpool f.c.,crystal palace f.c. vs liverpool f.c. standings,diogo jota,english premier league,crystal palace f.c. vs liverpool f.c.,liverpool vs crystal palace prediction,crystal palace – liverpool","https://trends.google.com/trends/explore?q=crystal%20palace%20vs%20liverpool&geo=US&hl=en"
"grayson mccall","20K+","October 5, 2024 at 12:30:00 PM UTC-4",,"grayson mccall,grayson mccall injury,wake forest football,nc state vs wake forest,nc state game,nc state quarterback,grayson mccall hit,nc state qb,nc state qb injury","https://trends.google.com/trends/explore?q=grayson%20mccall&geo=US&hl=en"
"bigfoot sighting tiktok","10K+","October 5, 2024 at 3:10:00 PM UTC-4",,"bigfoot sighting tiktok,tiktok bigfoot sighting,lawton oklahoma bigfoot,bigfoot oklahoma","https://trends.google.com/trends/explore?q=bigfoot%20sighting%20tiktok&geo=US&hl=en"
"syracuse vs unlv","100K+","October 4, 2024 at 5:10:00 PM UTC-4",,"syracuse vs unlv,unlv football,syracuse football,syracuse orange football vs unlv football match player stats,unlv,kyle mccord,syracuse,unlv vs syracuse,su football,unlv vs syracuse prediction,hajj-malik williams,syracuse football schedule,unlv score,unlv football schedule,hajj malik williams,unlv football vs syracuse orange football match player stats,unlv game,unlv syracuse,where to watch unlv football vs syracuse orange football,lequint allen,where to watch syracuse orange football vs unlv football,syracuse unlv,unlv football stadium,allegiant stadium,unlv rebels football,syracuse university","https://trends.google.com/trends/explore?q=syracuse%20vs%20unlv&geo=US&hl=en"
"army football","20K+","October 5, 2024 at 12:20:00 PM UTC-4",,"army football,army vs tulsa,army football schedule,tulsa football,army vs tulsa prediction","https://trends.google.com/trends/explore?q=army%20football&geo=US&hl=en"
"milky drink with pearls nyt","20K+","October 4, 2024 at 11:10:00 PM UTC-4",,"milky drink with pearls nyt,lego piece nyt,inventor of synthesizer nyt,warty hopper nyt,inventor of the first commercially available electronic instrument, a synthesizer,inventor of the first synthesizer nyt,cd- nyt,nyt mini answers,mini crossword answers,nyt mini crossword","https://trends.google.com/trends/explore?q=milky%20drink%20with%20pearls%20nyt&geo=US&hl=en"
"indiana vs northwestern","10K+","October 5, 2024 at 3:10:00 PM UTC-4",,"indiana vs northwestern,northwestern football,northwestern football stadium,indiana football,northwestern,iu vs northwestern football,indiana vs northwestern prediction","https://trends.google.com/trends/explore?q=indiana%20vs%20northwestern&geo=US&hl=en"
"lds general conference","20K+","October 5, 2024 at 10:30:00 AM UTC-4",,"lds general conference,general conference,lds conference 2024,lds conference","https://trends.google.com/trends/explore?q=lds%20general%20conference&geo=US&hl=en"
"fortnite live event","20K+","October 5, 2024 at 3:10:00 AM UTC-4",,"fortnite live event,fortnite event,fortnite,when is the fortnite live event,fortnite doom event,what time is the fortnite live event,fortnite event time,doom event fortnite,live event fortnite","https://trends.google.com/trends/explore?q=fortnite%20live%20event&geo=US&hl=en"
"everton vs newcastle","20K+","October 5, 2024 at 11:30:00 AM UTC-4",,"everton vs newcastle,newcastle,everton,newcastle united,everton f.c. vs newcastle united f.c. lineups,liverpool vs crystal palace,anthony gordon,everton - newcastle,ashley young,everton f.c. vs newcastle united f.c. stats,premier league scores","https://trends.google.com/trends/explore?q=everton%20vs%20newcastle&geo=US&hl=en"
"jack doherty","10K+","October 5, 2024 at 1:40:00 PM UTC-4",,"jack doherty","https://trends.google.com/trends/explore?q=jack%20doherty&geo=US&hl=en"
"mlb games","20K+","October 5, 2024 at 1:40:00 PM UTC-4",,"mlb games","https://trends.google.com/trends/explore?q=mlb%20games&geo=US&hl=en"
"tommy lee jones","20K+","October 4, 2024 at 5:20:00 PM UTC-4",,"tommy lee jones","https://trends.google.com/trends/explore?q=tommy%20lee%20jones&geo=US&hl=en"
"mlb","20K+","October 5, 2024 at 4:10:00 PM UTC-4",,"mlb,baseball games today","https://trends.google.com/trends/explore?q=mlb&geo=US&hl=en"
"nyc deputy mayor sheena wright","5K+","October 5, 2024 at 9:20:00 AM UTC-4",,"nyc deputy mayor sheena wright","https://trends.google.com/trends/explore?q=nyc%20deputy%20mayor%20sheena%20wright&geo=US&hl=en"
"cal vs miami","20K+","October 5, 2024 at 9:20:00 AM UTC-4",,"cal vs miami,cal football,college gameday location,where is college gameday this week,justin wilcox,cal berkeley football,cal football schedule,cal berkeley,berkeley,cal university,where is college gameday today,cal bears,gameday this week","https://trends.google.com/trends/explore?q=cal%20vs%20miami&geo=US&hl=en"
"inter vs torino","5K+","October 5, 2024 at 1:50:00 PM UTC-4",,"inter vs torino,inter milan","https://trends.google.com/trends/explore?q=inter%20vs%20torino&geo=US&hl=en"
"virginia tech vs stanford","5K+","October 5, 2024 at 3:10:00 PM UTC-4",,"virginia tech vs stanford","https://trends.google.com/trends/explore?q=virginia%20tech%20vs%20stanford&geo=US&hl=en"
"ted cruz","5K+","October 5, 2024 at 3:20:00 PM UTC-4",,"ted cruz,colin allred","https://trends.google.com/trends/explore?q=ted%20cruz&geo=US&hl=en"
"al-nassr vs al-orobah","20K+","October 5, 2024 at 10:10:00 AM UTC-4",,"al-nassr vs al-orobah,al-nassr - al-orobah,saudi pro league,al nassr,al-nassr vs. al-orobah","https://trends.google.com/trends/explore?q=al-nassr%20vs%20al-orobah&geo=US&hl=en"
"roman dolidze","10K+","October 5, 2024 at 12:40:00 AM UTC-4",,"roman dolidze,kevin holland","https://trends.google.com/trends/explore?q=roman%20dolidze&geo=US&hl=en"
"howie mandel","5K+","October 5, 2024 at 11:00:00 AM UTC-4",,"howie mandel","https://trends.google.com/trends/explore?q=howie%20mandel&geo=US&hl=en"
"royals vs yankees","10K+","October 5, 2024 at 6:30:00 AM UTC-4",,"royals vs yankees,yankees game,yankees games,yankees game today","https://trends.google.com/trends/explore?q=royals%20vs%20yankees&geo=US&hl=en"
"michigan vs washington","5K+","October 5, 2024 at 7:10:00 AM UTC-4",,"michigan vs washington,michigan vs washington prediction,brock huard","https://trends.google.com/trends/explore?q=michigan%20vs%20washington&geo=US&hl=en"
"bleach tybw part 3","10K+","October 4, 2024 at 8:20:00 PM UTC-4",,"bleach tybw part 3","https://trends.google.com/trends/explore?q=bleach%20tybw%20part%203&geo=US&hl=en"
"blue lock season 2","10K+","October 4, 2024 at 9:20:00 PM UTC-4",,"blue lock season 2,blue lock season 2 release date","https://trends.google.com/trends/explore?q=blue%20lock%20season%202&geo=US&hl=en"
"al-ahli saudi vs al-hilal","5K+","October 5, 2024 at 1:10:00 PM UTC-4",,"al-ahli saudi vs al-hilal,al-ahli saudi - al hilal","https://trends.google.com/trends/explore?q=al-ahli%20saudi%20vs%20al-hilal&geo=US&hl=en"
"app state vs marshall","2K+","October 5, 2024 at 3:10:00 PM UTC-4",,"app state vs marshall,appalachian state football","https://trends.google.com/trends/explore?q=app%20state%20vs%20marshall&geo=US&hl=en"
"valladolid - rayo vallecano","10K+","October 5, 2024 at 11:40:00 AM UTC-4",,"valladolid - rayo vallecano,valladolid vs rayo vallecano,valladolid vs. rayo vallecano","https://trends.google.com/trends/explore?q=valladolid%20-%20rayo%20vallecano&geo=US&hl=en"
"mario bautista","5K+","October 4, 2024 at 11:40:00 PM UTC-4",,"mario bautista,josé aldo,jose aldo","https://trends.google.com/trends/explore?q=mario%20bautista&geo=US&hl=en"
"rob dillingham","10K+","October 4, 2024 at 11:10:00 PM UTC-4",,"rob dillingham","https://trends.google.com/trends/explore?q=rob%20dillingham&geo=US&hl=en"
"brentford vs wolves","10K+","October 5, 2024 at 9:00:00 AM UTC-4",,"brentford vs wolves,brentford - wolves,brentford,brentford fc","https://trends.google.com/trends/explore?q=brentford%20vs%20wolves&geo=US&hl=en"
"mi state vs oregon","200K+","October 4, 2024 at 6:40:00 PM UTC-4","October 5, 2024 at 4:30:00 PM UTC-4","mi state vs oregon,oregon football,michigan state football,oregon vs michigan state,msu football,michigan state spartans football vs oregon ducks football match player stats,oregon ducks football,msu vs oregon,oregon,dillon gabriel,oregon ducks,ducks football,michigan state vs oregon,jordan james,oregon michigan state,michigan state,aidan chiles,oregon game,oregon football schedule,where to watch michigan state spartans football vs oregon ducks football,michigan state vs oregon prediction,msu football schedule,ducks,where to watch oregon ducks football vs michigan state spartans football,oregon ducks football vs michigan state spartans football match player stats,msu,msu oregon,oregon ducks football schedule,oregon football roster,jordan james oregon,autzen stadium,oregon vs msu,jonathan smith","https://trends.google.com/trends/explore?q=mi%20state%20vs%20oregon&geo=US&hl=en"
"ufc fights tonight","10K+","October 5, 2024 at 12:20:00 PM UTC-4",,"ufc fights tonight,ufc 307 fight card,ufc fights,ufc fight tonight,ufc fight,pereira vs rountree","https://trends.google.com/trends/explore?q=ufc%20fights%20tonight&geo=US&hl=en"
"idaho senator dan foreman","10K+","October 5, 2024 at 7:40:00 AM UTC-4",,"idaho senator dan foreman,dan foreman,trish carter-goodheart","https://trends.google.com/trends/explore?q=idaho%20senator%20dan%20foreman&geo=US&hl=en"
"strava down","2K+","October 5, 2024 at 2:50:00 PM UTC-4",,"strava down,strava outage","https://trends.google.com/trends/explore?q=strava%20down&geo=US&hl=en"
"texas vs oklahoma","2K+","October 5, 2024 at 11:40:00 AM UTC-4",,"texas vs oklahoma","https://trends.google.com/trends/explore?q=texas%20vs%20oklahoma&geo=US&hl=en"
"tulane vs uab","5K+","October 5, 2024 at 12:40:00 PM UTC-4",,"tulane vs uab,jalen kitna","https://trends.google.com/trends/explore?q=tulane%20vs%20uab&geo=US&hl=en"
"al pacino","5K+","October 5, 2024 at 12:50:00 AM UTC-4",,"al pacino","https://trends.google.com/trends/explore?q=al%20pacino&geo=US&hl=en"
"greg landry","10K+","October 4, 2024 at 9:00:00 PM UTC-4",,"greg landry","https://trends.google.com/trends/explore?q=greg%20landry&geo=US&hl=en"
"atalanta vs genoa","5K+","October 5, 2024 at 11:10:00 AM UTC-4",,"atalanta vs genoa","https://trends.google.com/trends/explore?q=atalanta%20vs%20genoa&geo=US&hl=en"
"east carolina vs charlotte","2K+","October 5, 2024 at 3:20:00 PM UTC-4",,"east carolina vs charlotte,east carolina football,unc charlotte football","https://trends.google.com/trends/explore?q=east%20carolina%20vs%20charlotte&geo=US&hl=en"
"vittoria ceretti","2K+","October 5, 2024 at 3:20:00 PM UTC-4",,"vittoria ceretti","https://trends.google.com/trends/explore?q=vittoria%20ceretti&geo=US&hl=en"
"u. d. las palmas - celta de vigo","2K+","October 5, 2024 at 11:50:00 AM UTC-4",,"u. d. las palmas - celta de vigo","https://trends.google.com/trends/explore?q=u.%20d.%20las%20palmas%20-%20celta%20de%20vigo&geo=US&hl=en"
"nh conservation officer levi frye","10K+","October 5, 2024 at 3:30:00 PM UTC-4",,"nh conservation officer levi frye,levi frye conservation officer,conservation officer levi frye,levi frye nh","https://trends.google.com/trends/explore?q=nh%20conservation%20officer%20levi%20frye&geo=US&hl=en"
"bryce harper","2K+","October 5, 2024 at 4:00:00 PM UTC-4",,"bryce harper","https://trends.google.com/trends/explore?q=bryce%20harper&geo=US&hl=en"
"jahkeem stewart","2K+","October 5, 2024 at 12:30:00 PM UTC-4",,"jahkeem stewart","https://trends.google.com/trends/explore?q=jahkeem%20stewart&geo=US&hl=en"
"tre harris","1K+","October 5, 2024 at 3:50:00 PM UTC-4",,"tre harris,lanorris sellers","https://trends.google.com/trends/explore?q=tre%20harris&geo=US&hl=en"
"florida a&m vs alabama state","2K+","October 5, 2024 at 2:50:00 PM UTC-4",,"florida a&m vs alabama state,alabama state football","https://trends.google.com/trends/explore?q=florida%20a%26m%20vs%20alabama%20state&geo=US&hl=en"
"inter - torino","2K+","October 5, 2024 at 2:00:00 PM UTC-4",,"inter - torino","https://trends.google.com/trends/explore?q=inter%20-%20torino&geo=US&hl=en"
"paradox codes","10K+","October 4, 2024 at 5:20:00 PM UTC-4",,"paradox codes,paradox trello","https://trends.google.com/trends/explore?q=paradox%20codes&geo=US&hl=en"
"d todd christofferson","1K+","October 5, 2024 at 4:00:00 PM UTC-4",,"d todd christofferson","https://trends.google.com/trends/explore?q=d%20todd%20christofferson&geo=US&hl=en"
"ucf vs florida","2K+","October 5, 2024 at 9:50:00 AM UTC-4",,"ucf vs florida,uf vs ucf","https://trends.google.com/trends/explore?q=ucf%20vs%20florida&geo=US&hl=en"
"xfinity race today","2K+","October 5, 2024 at 1:20:00 PM UTC-4",,"xfinity race today","https://trends.google.com/trends/explore?q=xfinity%20race%20today&geo=US&hl=en"
"northwestern university","1K+","October 5, 2024 at 3:50:00 PM UTC-4",,"northwestern university","https://trends.google.com/trends/explore?q=northwestern%20university&geo=US&hl=en"
"friday the 13th","5K+","October 4, 2024 at 8:20:00 PM UTC-4",,"friday the 13th","https://trends.google.com/trends/explore?q=friday%20the%2013th&geo=US&hl=en"
"senga","2K+","October 5, 2024 at 4:20:00 PM UTC-4",,"senga,zach wheeler,senga mets","https://trends.google.com/trends/explore?q=senga&geo=US&hl=en"
"western michigan football","5K+","October 5, 2024 at 3:00:00 PM UTC-4",,"western michigan football,wmu vs ball state","https://trends.google.com/trends/explore?q=western%20michigan%20football&geo=US&hl=en"
"rajendra prasad","5K+","October 5, 2024 at 12:40:00 AM UTC-4",,"rajendra prasad,rajendra prasad daughter","https://trends.google.com/trends/explore?q=rajendra%20prasad&geo=US&hl=en"
"philadelphia phillies","2K+","October 5, 2024 at 4:20:00 PM UTC-4",,"philadelphia phillies","https://trends.google.com/trends/explore?q=philadelphia%20phillies&geo=US&hl=en"
"will smith","1K+","October 5, 2024 at 3:30:00 PM UTC-4",,"will smith","https://trends.google.com/trends/explore?q=will%20smith&geo=US&hl=en"
"will howard","2K+","October 5, 2024 at 4:10:00 PM UTC-4",,"will howard,emeka egbuka","https://trends.google.com/trends/explore?q=will%20howard&geo=US&hl=en"
"virginia state fair","2K+","October 5, 2024 at 7:20:00 AM UTC-4",,"virginia state fair","https://trends.google.com/trends/explore?q=virginia%20state%20fair&geo=US&hl=en"
"warriors","5K+","October 4, 2024 at 11:10:00 PM UTC-4",,"warriors,clippers","https://trends.google.com/trends/explore?q=warriors&geo=US&hl=en"
"derek jeter","1K+","October 5, 2024 at 3:40:00 PM UTC-4",,"derek jeter","https://trends.google.com/trends/explore?q=derek%20jeter&geo=US&hl=en"
"tyler holton","2K+","October 5, 2024 at 1:20:00 PM UTC-4",,"tyler holton,worlds schedule","https://trends.google.com/trends/explore?q=tyler%20holton&geo=US&hl=en"
"rennes vs monaco","2K+","October 5, 2024 at 2:20:00 PM UTC-4",,"rennes vs monaco","https://trends.google.com/trends/explore?q=rennes%20vs%20monaco&geo=US&hl=en"
"tcu football","100K+","October 4, 2024 at 5:50:00 PM UTC-4","October 5, 2024 at 9:30:00 AM UTC-4","tcu football,houston vs tcu,tcu vs houston,houston football,tcu,houston cougars football vs tcu horned frogs football match player stats,tcu game,tcu score,tcu horned frogs football vs houston cougars football match player stats,uh football,houston cougars football,zeon chriss,josh hoover,tcu houston,houston tcu","https://trends.google.com/trends/explore?q=tcu%20football&geo=US&hl=en"
"jets vs vikings","2K+","October 5, 2024 at 6:40:00 AM UTC-4",,"jets vs vikings","https://trends.google.com/trends/explore?q=jets%20vs%20vikings&geo=US&hl=en"
"david paterson","5K+","October 5, 2024 at 6:30:00 AM UTC-4",,"david paterson,curtis sliwa","https://trends.google.com/trends/explore?q=david%20paterson&geo=US&hl=en"
"dodger game today","2K+","October 5, 2024 at 2:40:00 PM UTC-4",,"dodger game today","https://trends.google.com/trends/explore?q=dodger%20game%20today&geo=US&hl=en"
"bowling green vs akron","1K+","October 5, 2024 at 3:20:00 PM UTC-4",,"bowling green vs akron","https://trends.google.com/trends/explore?q=bowling%20green%20vs%20akron&geo=US&hl=en"
"mclaren","2K+","October 5, 2024 at 1:30:00 PM UTC-4",,"mclaren","https://trends.google.com/trends/explore?q=mclaren&geo=US&hl=en"
"liberty vs aces","100K+","October 4, 2024 at 9:10:00 PM UTC-4","October 5, 2024 at 1:20:00 PM UTC-4","liberty vs aces,new york liberty vs las vegas aces match player stats,las vegas aces,ny liberty,new york liberty,sabrina ionescu,breanna stewart,wnba,aces wnba,jackie young,a'ja wilson,lv aces,new york liberty vs las vegas aces timeline,jonquel jones,liberty,aja wilson,lva vs nyl,where to watch las vegas aces vs new york liberty,aces las vegas,where to watch new york liberty vs las vegas aces,a'ja wilson stats,aces liberty,liberty aces,brionna jones,new york liberty vs las vegas aces,aces score,aces game","https://trends.google.com/trends/explore?q=liberty%20vs%20aces&geo=US&hl=en"
"temple vs uconn","5K+","October 5, 2024 at 3:30:00 PM UTC-4",,"temple vs uconn,umass football,umass vs northern il","https://trends.google.com/trends/explore?q=temple%20vs%20uconn&geo=US&hl=en"
"hugh freeze","1K+","October 5, 2024 at 4:00:00 PM UTC-4",,"hugh freeze","https://trends.google.com/trends/explore?q=hugh%20freeze&geo=US&hl=en"
